subject,type,fold,train
2,hr,0,0.797752808988764
2,hr,1,0.8089887640449438
2,hr,2,0.7528089887640449
2,eda,0,0.8539325842696629
2,eda,1,0.8314606741573034
2,eda,2,0.8202247191011236
2,pupil,0,0.8426966292134831
2,pupil,1,0.8089887640449438
2,pupil,2,0.8314606741573034
4,hr,0,0.8651685393258427
4,hr,1,0.8876404494382022
4,hr,2,0.9101123595505618
4,eda,0,0.8876404494382022
4,eda,1,0.8539325842696629
4,eda,2,0.9550561797752809
4,pupil,0,0.898876404494382
4,pupil,1,0.8539325842696629
4,pupil,2,0.8314606741573034
10,hr,0,0.8876404494382022
10,hr,1,0.8202247191011236
10,hr,2,0.8539325842696629
10,eda,0,0.8426966292134831
10,eda,1,0.7865168539325843
10,eda,2,0.7752808988764045
10,pupil,0,0.8426966292134831
10,pupil,1,0.8314606741573034
10,pupil,2,0.8539325842696629
41,hr,0,0.7752808988764045
41,hr,1,0.9887640449438202
41,hr,2,0.8314606741573034
41,eda,0,0.8651685393258427
41,eda,1,0.8764044943820225
41,eda,2,0.797752808988764
41,pupil,0,0.8651685393258427
41,pupil,1,0.8539325842696629
41,pupil,2,0.8651685393258427
43,hr,0,0.8202247191011236
43,hr,1,0.8314606741573034
43,hr,2,0.7752808988764045
43,eda,0,0.8539325842696629
43,eda,1,0.8426966292134831
43,eda,2,0.8651685393258427
43,pupil,0,0.8314606741573034
43,pupil,1,0.8426966292134831
43,pupil,2,0.797752808988764
44,hr,0,0.9325842696629213
44,hr,1,0.8202247191011236
44,hr,2,0.8202247191011236
44,eda,0,0.8651685393258427
44,eda,1,0.8089887640449438
44,eda,2,0.9101123595505618
44,pupil,0,0.8202247191011236
44,pupil,1,0.8089887640449438
44,pupil,2,0.8314606741573034
45,hr,0,0.8089887640449438
45,hr,1,0.8764044943820225
45,hr,2,0.8539325842696629
45,eda,0,0.7752808988764045
45,eda,1,0.8202247191011236
45,eda,2,0.8314606741573034
45,pupil,0,0.8089887640449438
45,pupil,1,0.797752808988764
45,pupil,2,0.8202247191011236
46,hr,0,0.8314606741573034
46,hr,1,0.9550561797752809
46,hr,2,0.9550561797752809
46,eda,0,0.797752808988764
46,eda,1,0.7752808988764045
46,eda,2,0.8539325842696629
46,pupil,0,0.8314606741573034
46,pupil,1,0.8426966292134831
46,pupil,2,0.797752808988764
47,hr,0,0.898876404494382
47,hr,1,0.8539325842696629
47,hr,2,0.8314606741573034
47,eda,0,0.8651685393258427
47,eda,1,0.8651685393258427
47,eda,2,0.8539325842696629
47,pupil,0,0.8426966292134831
47,pupil,1,0.8651685393258427
47,pupil,2,0.8202247191011236
48,hr,0,0.8314606741573034
48,hr,1,0.7752808988764045
48,hr,2,0.8202247191011236
48,eda,0,0.7752808988764045
48,eda,1,0.797752808988764
48,eda,2,0.7640449438202247
48,pupil,0,0.797752808988764
48,pupil,1,0.8314606741573034
48,pupil,2,0.8314606741573034
49,hr,0,0.9775280898876404
49,hr,1,0.8314606741573034
49,hr,2,0.9662921348314607
49,eda,0,0.8314606741573034
49,eda,1,0.9213483146067416
49,eda,2,0.8314606741573034
49,pupil,0,0.797752808988764
49,pupil,1,0.8202247191011236
49,pupil,2,0.7528089887640449
50,hr,0,0.9438202247191011
50,hr,1,0.8426966292134831
50,hr,2,1.0
50,eda,0,0.7865168539325843
50,eda,1,0.7752808988764045
50,eda,2,0.8876404494382022
50,pupil,0,0.8651685393258427
50,pupil,1,0.8651685393258427
50,pupil,2,0.8426966292134831
51,hr,0,0.7415730337078652
51,hr,1,0.8202247191011236
51,hr,2,0.7752808988764045
51,eda,0,0.898876404494382
51,eda,1,0.8876404494382022
51,eda,2,0.8539325842696629
51,pupil,0,0.8202247191011236
51,pupil,1,0.8314606741573034
51,pupil,2,0.8089887640449438
52,hr,0,0.8426966292134831
52,hr,1,0.898876404494382
52,hr,2,0.8426966292134831
52,eda,0,0.8089887640449438
52,eda,1,0.8314606741573034
52,eda,2,0.898876404494382
52,pupil,0,0.9325842696629213
52,pupil,1,0.9325842696629213
52,pupil,2,0.898876404494382
53,hr,0,0.7752808988764045
53,hr,1,0.8314606741573034
53,hr,2,0.797752808988764
53,eda,0,0.8314606741573034
53,eda,1,0.8651685393258427
53,eda,2,0.8539325842696629
53,pupil,0,0.8426966292134831
53,pupil,1,0.8651685393258427
53,pupil,2,0.8426966292134831
54,hr,0,0.8539325842696629
54,hr,1,0.797752808988764
54,hr,2,0.7415730337078652
54,eda,0,0.7640449438202247
54,eda,1,0.7640449438202247
54,eda,2,0.7865168539325843
54,pupil,0,0.7865168539325843
54,pupil,1,0.8426966292134831
54,pupil,2,0.8426966292134831
55,hr,0,0.8764044943820225
55,hr,1,0.8314606741573034
55,hr,2,0.9550561797752809
55,eda,0,0.797752808988764
55,eda,1,0.7752808988764045
55,eda,2,0.7865168539325843
55,pupil,0,0.7865168539325843
55,pupil,1,0.7865168539325843
55,pupil,2,0.8202247191011236
