,Subject,K,Train,Validation,Test
0,2,1,0.5512820512820513,0.3636363636363636,0.4782608695652174
1,2,2,0.5256410256410257,0.5454545454545454,0.3043478260869565
2,2,3,0.5512820512820513,0.2727272727272727,0.391304347826087
3,2,4,0.5384615384615384,0.3636363636363636,0.391304347826087
4,2,5,0.5,0.4545454545454545,0.5217391304347826
5,2,6,0.4743589743589743,0.3636363636363636,0.5217391304347826
6,2,7,0.5256410256410257,0.5454545454545454,0.4347826086956521
7,2,8,0.5,0.2727272727272727,0.6086956521739131
8,2,9,0.4871794871794871,0.5454545454545454,0.4782608695652174
9,4,1,0.5512820512820513,0.5454545454545454,0.5652173913043478
10,4,2,0.4743589743589743,0.4545454545454545,0.4347826086956521
11,4,3,0.4615384615384615,0.7272727272727273,0.4782608695652174
12,4,4,0.6153846153846154,0.6363636363636364,0.5652173913043478
13,4,5,0.4487179487179487,0.7272727272727273,0.4347826086956521
14,4,6,0.5256410256410257,0.4545454545454545,0.4782608695652174
15,4,7,0.5512820512820513,0.6363636363636364,0.391304347826087
16,4,8,0.4743589743589743,0.2727272727272727,0.5652173913043478
17,4,9,0.6153846153846154,0.4545454545454545,0.6086956521739131
18,10,1,0.6282051282051282,0.4545454545454545,0.3478260869565217
19,10,2,0.6282051282051282,0.2727272727272727,0.3043478260869565
20,10,3,0.6282051282051282,0.4545454545454545,0.5217391304347826
21,10,4,0.6282051282051282,0.6363636363636364,0.4347826086956521
22,10,5,0.6282051282051282,0.3636363636363636,0.391304347826087
23,10,6,0.6282051282051282,0.4545454545454545,0.5652173913043478
24,10,7,0.6282051282051282,0.6363636363636364,0.3478260869565217
25,10,8,0.6282051282051282,0.7272727272727273,0.4782608695652174
26,10,9,0.6282051282051282,0.5454545454545454,0.5217391304347826
27,41,1,0.6153846153846154,0.5454545454545454,0.4782608695652174
28,41,2,0.6153846153846154,0.5454545454545454,0.5652173913043478
29,41,3,0.6153846153846154,0.2727272727272727,0.5217391304347826
30,41,4,0.6153846153846154,0.6363636363636364,0.6956521739130435
31,41,5,0.6153846153846154,0.3636363636363636,0.4782608695652174
32,41,6,0.6153846153846154,0.4545454545454545,0.4347826086956521
33,41,7,0.6153846153846154,0.5454545454545454,0.4782608695652174
34,41,8,0.6153846153846154,0.4545454545454545,0.391304347826087
35,41,9,0.6153846153846154,0.3636363636363636,0.4782608695652174
36,43,1,0.5384615384615384,0.3636363636363636,0.5652173913043478
37,43,2,0.5641025641025641,0.3636363636363636,0.4347826086956521
38,43,3,0.5384615384615384,0.0909090909090909,0.4347826086956521
39,43,4,0.5384615384615384,0.5454545454545454,0.4347826086956521
40,43,5,0.5384615384615384,0.6363636363636364,0.391304347826087
41,43,6,0.5256410256410257,0.5454545454545454,0.5652173913043478
42,43,7,0.5384615384615384,0.3636363636363636,0.4782608695652174
43,43,8,0.5512820512820513,0.4545454545454545,0.391304347826087
44,43,9,0.5384615384615384,0.3636363636363636,0.3478260869565217
45,44,1,0.6410256410256411,0.5454545454545454,0.4782608695652174
46,44,2,0.6410256410256411,0.4545454545454545,0.391304347826087
47,44,3,0.6410256410256411,0.6363636363636364,0.391304347826087
48,44,4,0.6410256410256411,0.3636363636363636,0.5217391304347826
49,44,5,0.6410256410256411,0.4545454545454545,0.4347826086956521
50,44,6,0.6410256410256411,0.7272727272727273,0.391304347826087
51,44,7,0.6410256410256411,0.4545454545454545,0.4782608695652174
52,44,8,0.6410256410256411,0.4545454545454545,0.5652173913043478
53,44,9,0.6410256410256411,0.5454545454545454,0.391304347826087
54,45,1,0.6410256410256411,0.4545454545454545,0.5652173913043478
55,45,2,0.6410256410256411,0.6363636363636364,0.6521739130434783
56,45,3,0.6410256410256411,0.4545454545454545,0.3478260869565217
57,45,4,0.6410256410256411,0.5454545454545454,0.5217391304347826
58,45,5,0.6410256410256411,0.2727272727272727,0.5652173913043478
59,45,6,0.6410256410256411,0.1818181818181818,0.391304347826087
60,45,7,0.6410256410256411,0.6363636363636364,0.4782608695652174
61,45,8,0.6410256410256411,0.5454545454545454,0.5217391304347826
62,45,9,0.6410256410256411,0.7272727272727273,0.391304347826087
63,46,1,0.6025641025641025,0.4545454545454545,0.4782608695652174
64,46,2,0.6025641025641025,0.6363636363636364,0.6956521739130435
65,46,3,0.6025641025641025,0.4545454545454545,0.4782608695652174
66,46,4,0.6025641025641025,0.4545454545454545,0.391304347826087
67,46,5,0.6025641025641025,0.3636363636363636,0.2608695652173913
68,46,6,0.6025641025641025,0.3636363636363636,0.5217391304347826
69,46,7,0.6025641025641025,0.3636363636363636,0.5652173913043478
70,46,8,0.6025641025641025,0.7272727272727273,0.3478260869565217
71,46,9,0.6025641025641025,0.3636363636363636,0.5217391304347826
72,47,1,0.5641025641025641,0.6363636363636364,0.4782608695652174
73,47,2,0.5641025641025641,0.3636363636363636,0.7391304347826086
74,47,3,0.5641025641025641,0.2727272727272727,0.4782608695652174
75,47,4,0.5641025641025641,0.8181818181818182,0.4782608695652174
76,47,5,0.5641025641025641,0.5454545454545454,0.5217391304347826
77,47,6,0.5641025641025641,0.5454545454545454,0.5652173913043478
78,47,7,0.5641025641025641,0.7272727272727273,0.6086956521739131
79,47,8,0.5641025641025641,0.3636363636363636,0.391304347826087
80,47,9,0.5641025641025641,0.6363636363636364,0.4347826086956521
81,48,1,0.5384615384615384,0.1818181818181818,0.6521739130434783
82,48,2,0.4871794871794871,0.6363636363636364,0.4347826086956521
83,48,3,0.5,0.4545454545454545,0.5652173913043478
84,48,4,0.5,0.6363636363636364,0.4347826086956521
85,48,5,0.5512820512820513,0.5454545454545454,0.4347826086956521
86,48,6,0.5769230769230769,0.3636363636363636,0.4782608695652174
87,48,7,0.5128205128205128,0.6363636363636364,0.6086956521739131
88,48,8,0.5769230769230769,0.3636363636363636,0.4347826086956521
89,48,9,0.6282051282051282,0.3636363636363636,0.4347826086956521
90,50,1,0.5,0.5454545454545454,0.391304347826087
91,50,2,0.5256410256410257,0.5454545454545454,0.5217391304347826
92,50,3,0.5641025641025641,0.5454545454545454,0.391304347826087
93,50,4,0.5641025641025641,0.4545454545454545,0.5652173913043478
94,50,5,0.5256410256410257,0.4545454545454545,0.391304347826087
95,50,6,0.5641025641025641,0.5454545454545454,0.2608695652173913
96,50,7,0.5897435897435898,0.4545454545454545,0.4347826086956521
97,50,8,0.5641025641025641,0.6363636363636364,0.5217391304347826
98,50,9,0.5641025641025641,0.2727272727272727,0.391304347826087
99,51,1,0.6282051282051282,0.7272727272727273,0.6521739130434783
100,51,2,0.6282051282051282,0.2727272727272727,0.391304347826087
101,51,3,0.6282051282051282,0.2727272727272727,0.391304347826087
102,51,4,0.6282051282051282,0.4545454545454545,0.4347826086956521
103,51,5,0.6282051282051282,0.6363636363636364,0.4347826086956521
104,51,6,0.6282051282051282,0.6363636363636364,0.5652173913043478
105,51,7,0.6282051282051282,0.3636363636363636,0.5652173913043478
106,51,8,0.6282051282051282,0.2727272727272727,0.5217391304347826
107,51,9,0.6282051282051282,0.3636363636363636,0.5652173913043478
108,52,1,0.5769230769230769,0.5454545454545454,0.6086956521739131
109,52,2,0.5769230769230769,0.4545454545454545,0.3043478260869565
110,52,3,0.5769230769230769,0.7272727272727273,0.4782608695652174
111,52,4,0.5769230769230769,0.3636363636363636,0.4782608695652174
112,52,5,0.5769230769230769,0.5454545454545454,0.4782608695652174
113,52,6,0.5769230769230769,0.5454545454545454,0.4347826086956521
114,52,7,0.5769230769230769,0.3636363636363636,0.4782608695652174
115,52,8,0.5769230769230769,0.8181818181818182,0.391304347826087
116,52,9,0.5769230769230769,0.4545454545454545,0.391304347826087
117,53,1,0.5512820512820513,0.2727272727272727,0.4347826086956521
118,53,2,0.5512820512820513,0.4545454545454545,0.391304347826087
119,53,3,0.5769230769230769,0.4545454545454545,0.5217391304347826
120,53,4,0.5512820512820513,0.7272727272727273,0.5652173913043478
121,53,5,0.5512820512820513,0.3636363636363636,0.5652173913043478
122,53,6,0.5128205128205128,0.4545454545454545,0.5652173913043478
123,53,7,0.5512820512820513,0.5454545454545454,0.5217391304347826
124,53,8,0.5512820512820513,0.6363636363636364,0.3478260869565217
125,53,9,0.5512820512820513,0.2727272727272727,0.5652173913043478
126,54,1,0.6282051282051282,0.6363636363636364,0.4782608695652174
127,54,2,0.6282051282051282,0.5454545454545454,0.5217391304347826
128,54,3,0.6282051282051282,0.7272727272727273,0.391304347826087
129,54,4,0.6282051282051282,0.2727272727272727,0.391304347826087
130,54,5,0.6282051282051282,0.5454545454545454,0.4782608695652174
131,54,6,0.6282051282051282,0.4545454545454545,0.5652173913043478
132,54,7,0.6282051282051282,0.1818181818181818,0.6086956521739131
133,54,8,0.6282051282051282,0.5454545454545454,0.4782608695652174
134,54,9,0.6282051282051282,0.3636363636363636,0.6086956521739131
135,55,1,0.5897435897435898,0.6363636363636364,0.4782608695652174
136,55,2,0.5897435897435898,0.5454545454545454,0.391304347826087
137,55,3,0.5897435897435898,0.7272727272727273,0.6956521739130435
138,55,4,0.5897435897435898,0.4545454545454545,0.4782608695652174
139,55,5,0.5897435897435898,0.5454545454545454,0.5217391304347826
140,55,6,0.5897435897435898,0.3636363636363636,0.6956521739130435
141,55,7,0.5897435897435898,0.5454545454545454,0.3478260869565217
142,55,8,0.5897435897435898,0.3636363636363636,0.5652173913043478
143,55,9,0.5897435897435898,0.6363636363636364,0.6086956521739131
